Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
F,2018-12-31,160338000000.0,0.0227,145732000000.0,14606000000.0,0.0,11403000000.0,11403000000.0,3203000000.0,1228000000.0,4327000000.0,650000000.0,650000000.0,3677000000.0,0.93,0.92,0.6,0.0911,0.086,0.0346,0.023,0.0451,13863000000.0,5555000000.0,0.027,0.0229
F,2017-12-31,156776000000.0,0.0328,140368000000.0,16408000000.0,0.0,11527000000.0,11527000000.0,4881000000.0,1190000000.0,8133000000.0,402000000.0,402000000.0,7731000000.0,1.94,1.93,0.65,0.1047,0.113,0.0595,0.049,0.0705,17776000000.0,9323000000.0,0.0519,0.0493
F,2016-12-31,151800000000.0,0.015,135042000000.0,16758000000.0,0.0,10972000000.0,10972000000.0,5786000000.0,951000000.0,6773000000.0,2184000000.0,2184000000.0,4589000000.0,1.16,1.15,0.85,0.1104,0.108,0.0509,0.03,0.0847,16441000000.0,7724000000.0,0.0446,0.0302
F,2015-12-31,149558000000.0,0.038,131814000000.0,17744000000.0,0.0,10763000000.0,10763000000.0,6981000000.0,773000000.0,10254000000.0,2881000000.0,2881000000.0,7373000000.0,1.86,1.84,0.6,0.1186,0.127,0.0737,0.049,0.0604,18993000000.0,11027000000.0,0.0686,0.0493
F,2014-12-31,144077000000.0,-0.0193,131903000000.0,12174000000.0,0.0,11842000000.0,11842000000.0,332000000.0,797000000.0,1235000000.0,4000000.0,4000000.0,1231000000.0,0.31,0.31,0.5,0.0845,0.066,0.0141,0.009,0.0489,9455000000.0,2032000000.0,0.0086,0.0085
F,2013-12-31,146917000000.0,0.1,120190000000.0,26727000000.0,0.0,10850000000.0,11058000000.0,15669000000.0,3689000000.0,14378000000.0,2425000000.0,2425000000.0,11953000000.0,3.04,2.94,0.4,0.1819,0.168,0.123,0.081,0.0262,24611000000.0,18067000000.0,0.0979,0.0814
F,2012-12-31,133559000000.0,-0.0151,113039000000.0,20520000000.0,0.0,11529000000.0,11606000000.0,8914000000.0,3828000000.0,7639000000.0,2026000000.0,2026000000.0,5613000000.0,1.47,1.41,0.2,0.1536,0.126,0.0859,0.042,0.0266,16767000000.0,11467000000.0,0.0572,0.042
F,2011-12-31,135605000000.0,0.0516,113611000000.0,21994000000.0,0.0,10884000000.0,10848000000.0,11146000000.0,4431000000.0,8672000000.0,-11541000000.0,-11541000000.0,20213000000.0,5.33,4.94,0.0,0.1622,0.097,0.0966,0.149,0.0405,13103000000.0,13103000000.0,0.064,0.1491
F,2010-12-31,128954000000.0,0.109,104451000000.0,24503000000.0,0.0,11909000000.0,11693000000.0,12810000000.0,6152000000.0,7153000000.0,592000000.0,592000000.0,6561000000.0,1.9,1.66,0.0,0.19,0.103,0.1032,0.051,0.0573,13305000000.0,13305000000.0,0.0555,0.0509
F,2009-12-31,116283000000.0,-0.1901,98866000000.0,17417000000.0,0.0,13029000000.0,14059000000.0,3358000000.0,6790000000.0,2604000000.0,-113000000.0,-113000000.0,2717000000.0,0.91,0.86,0.0,0.1498,0.081,0.0808,0.023,0.0982,9394000000.0,9394000000.0,0.0224,0.0234
